Venue,Home,Away,HomeScore,AwayScore,Year
Principality Stadium,Wales,Ireland,10,34,2023
Twickenham,England,Scotland,23,29,2023
Stadio Olimpico,Italy,France,24,29,2023
Aviva Stadium,Ireland,France,32,19,2023
BT Murrayfield,Scotland,Wales,35,7,2023
Twickenham,England,Italy,31,14,2023
Stadio Olimpico,Italy,Ireland,20,34,2023
Principality Stadium,Wales,England,10,20,2023
Stade de France,France,Scotland,32,21,2023
Stadio Olimpico,Italy,Wales,17,29,2023
Twickenham,England,France,10,53,2023
BT Murrayfield,Scotland,Ireland,7,22,2023
BT Murrayfield,Scotland,Italy,26,14,2023
Stade de France,France,Wales,41,28,2023
Aviva Stadium,Ireland,England,29,16,2023
Principality Stadium,Wales,Ireland,10,34,2022
Twickenham,England,Scotland,23,29,2022
Stadio Olimpico,Italy,France,24,29,2022
Aviva Stadium,Ireland,France,32,19,2022
BT Murrayfield,Scotland,Wales,35,7,2022
Twickenham,England,Italy,31,14,2022
Stadio Olimpico,Italy,Ireland,20,34,2022
Principality Stadium,Wales,England,10,20,2022
Stade de France,France,Scotland,32,21,2022
Stadio Olimpico,Italy,Wales,17,29,2022
Twickenham,England,France,10,53,2022
BT Murrayfield,Scotland,Ireland,7,22,2022
BT Murrayfield,Scotland,Italy,26,14,2022
Stade de France,France,Wales,41,28,2022
Aviva Stadium,Ireland,England,29,16,2022
Stadio Olimpico,Italy,France,10,50,2021
Twickenham,England,Scotland,6,11,2021
Principality Stadium,Wales,Ireland,21,16,2021
Twickenham,England,Italy,41,18,2021
BT Murrayfield,Scotland,Wales,24,25,2021
Aviva Stadium,Ireland,France,13,15,2021
Stadio Olimpico,Italy,Ireland,10,48,2021
Principality Stadium,Wales,England,40,24,2021
Stadio Olimpico,Italy,Wales,7,48,2021
Twickenham,England,France,23,20,2021
BT Murrayfield,Scotland,Ireland,24,27,2021
BT Murrayfield,Scotland,Italy,52,10,2021
Aviva Stadium,Ireland,England,32,18,2021
Stade de France,France,Wales,32,30,2021
Stade de France,France,Scotland,23,27,2021
Principality Stadium,Wales,Italy,42,0,2020
Aviva Stadium,Ireland,Scotland,19,12,2020
Stade De France,France,England,24,17,2020
Aviva Stadium,Ireland,Wales,24,14,2020
BT Murrayfield Stadium,Scotland,England,6,13,2020
Stade De France,France,Italy,35,22,2020
Stadio Olimpico,Italy,Scotland,0,17,2020
Principality Stadium,Wales,France,23,27,2020
Twickenham,England,Ireland,24,12,2020
Twickenham,England,Wales,33,30,2020
BT Murrayfield Stadium,Scotland,France,28,17,2020
Aviva Stadium,Ireland,Italy,50,17,2020
Principality Stadium,Wales,Scotland,10,14,2020
Stadio Olimpico,Italy,England,5,34,2020
Stade De France,France,Ireland,35,27,2020
